ProductID,ProductName,UnitPrice,Category,Stock,PopularityScore,ReturnRate,CostPrice
PROD_0001,Blender Model 93,150,Home Appliances,500,3,10,105
PROD_0002,iPhone 13,799,Electronics,200,4.5,15,559.3
PROD_0003,Blender Model 92,120,Home Appliances,500,3,10,84
PROD_0004,Cookbook Edition 81,35,Books,300,2,5,24.5
PROD_0005,Blender Model 55,100,Home Appliances,500,3,10,70
PROD_0006,iPhone 14,999,Electronics,200,4.5,15,699.3
PROD_0007,Samsung QN90C Neo QLED TV,1500,Electronics,150,4,10,1050
PROD_0008,Cookbook Edition 97,35,Books,300,2,5,24.5
PROD_0009,iPhone 11,699,Electronics,200,4.5,15,489.3
PROD_0010,Samsung QN85C Neo QLED TV,1200,Electronics,150,4,10,840
PROD_0011,Blender Model 85,110,Home Appliances,500,3,10,77
PROD_0012,Nike Air Max 19,120,Fashion,400,3.5,20,84
PROD_0013,Samsung QN95C Neo QLED TV,1800,Electronics,150,4,10,1260
PROD_0014,Samsung QN90C Neo QLED TV,1500,Electronics,150,4,10,1050
PROD_0015,iPhone 14,999,Electronics,200,4.5,15,699.3
PROD_0016,iPhone SE (2nd Gen),399,Electronics,200,4.5,15,279.3
PROD_0017,Blender Model 97,130,Home Appliances,500,3,10,91
PROD_0018,Samsung QN900C Neo QLED TV,2000,Electronics,4,4,10,1400
PROD_0019,Nike Air Max 44,130,Fashion,400,3.5,20,91
PROD_0020,Nike Air Max 89,160,Fashion,400,3.5,20,112
PROD_0021,Blender Model 43,95,Home Appliances,500,3,10,66.5
PROD_0022,Blender Model 90,125,Home Appliances,500,3,10,87.5
PROD_0023,Nike Air Max 73,140,Fashion,400,3.5,20,98
PROD_0024,Nike Air Max 77,150,Fashion,400,3.5,20,105
PROD_0025,iPhone 11 Pro,1099,Electronics,200,4.5,15,769.3
PROD_0026,Samsung QN85C Neo QLED TV,1200,Electronics,150,4,10,840
PROD_0027,Cookbook Edition 37,30,Books,300,2,5,21
PROD_0028,iPhone 12,799,Electronics,200,4.5,15,559.3
PROD_0029,Nike Air Max 73,140,Fashion,400,10.5,20,98
PROD_0030,Nike Air Max 92,145,Fashion,15,3.5,20,101.5
PROD_0031,Nike Air Max 40,130,Fashion,400,3.5,20,91
PROD_0032,Samsung QN95C Neo QLED TV,1800,Electronics,150,4,10,1260
PROD_0033,Nike Air Max 61,130,Fashion,250,3.5,20,91
PROD_0034,Blender Model 87,120,Home Appliances,450,3,10,84
PROD_0035,Blender Model 99,140,Home Appliances,500,3,10,98
PROD_0036,iPhone 14,999,Electronics,200,4.5,15,699.3
PROD_0037,Samsung QN90C Neo QLED TV,1500,Electronics,150,4,10,1050
PROD_0038,Nike Shoes 21,110,Fashion,400,3.5,20,77
PROD_0039,Cookbook Deluxe 50,40,Books,29,2,5,28
PROD_0040,iPhone 11 Pro,1099,Electronics,200,4.5,15,769.3
PROD_0041,Samsung TV QLED 88,2200,Electronics,150,4,10,1540
PROD_0042,Blender Max 88,140,Home Appliances,3,3,10,98
PROD_0043,Nike Shoes Pro 90,120,Fashion,400,3.5,20,84
PROD_0044,iPhone 12 Pro Max,1099,Electronics,200,4.5,15,769.3
PROD_0045,Samsung TV UHD 45,800,Electronics,150,4,10,560
PROD_0046,Nike Shoes Elite,150,Fashion,400,3.5,20,105
PROD_0047,Cookbook Prime 12,45,Books,33,2,5,31.5
PROD_0048,iPhone 13 Mini,699,Electronics,10,4.5,15,489.3
PROD_0049,Blender Pro 91,150,Home Appliances,500,3,10,105
PROD_0050,Samsung TV OLED 29,1000,Electronics,150,7,10,700
